MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Address,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,MANHATTAN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
1-00229-0022,"75 GRAND STREET
New York, NY
(40.72178065841888, -74.0025362736306)",SOHO,D4-ELEVATOR,31,1915,85676,2531726,29.55,785649,9.17,1746077,13091000,152.8,1-00489-0001,"55 SULLIVAN STREET
New York, NY
(40.72418184823715, -74.00428095836742)",SOHO,D9-ELEVATOR,40,2009,65000,3361800,51.72,852150,13.11,2509650,16400000,252.31,0.22,1-00504-0031,"112 SULLIVAN STREET
New York, NY
(40.72589056009281, -74.00282405667997)",SOHO,D1-ELEVATOR,60,1920,38880,1149094,29.55,356644,9.17,792450,5941000,152.8,0.33,1-00504-0036,100 SULLIVAN STREET,SOHO,D1-ELEVATOR,70,1920,"53,200","1,247,289",23.45,"362,260",6.81,"885,029","6,455,000",121.33,0.33
1-00230-0031,"31 MERCER STREET
New York, NY
(40.721061200795475, -74.001627958381)",SOHO,D4-ELEVATOR,14,1920,30000,926400,30.88,244500,8.15,681900,5095000,169.83,1-00476-0057,"32 THOMPSON STREET
New York, NY
(40.72312064824257, -74.00409210074127)",SOHO,C7-WALK-UP,18,1920,8992,388275,43.18,128136,14.25,260139,1960000,217.97,0.16,1-00476-0045,"30 GRAND STREET
New York, NY
(40.72285085163378, -74.00467666006034)",SOHO,C7-WALK-UP,44,1900,26952,1078338,40.01,322592,11.97,755746,5712000,211.93,0.19,1-00488-0010,72 THOMPSON STREET,SOHO,C7-WALK-UP,36,1910,"19,002","586,820",30.88,"154,899",8.15,"431,921","3,227,000",169.82,0.23
1-00232-0009,"452 BROADWAY
New York, NY
(40.72039570249376, -74.00102541262135)",SOHO,D4-ELEVATOR,28,1900,42111,1157631,27.49,290566,6.9,867065,6251000,148.44,1-00489-0001,"55 SULLIVAN STREET
New York, NY
(40.72418184823715, -74.00428095836742)",SOHO,D9-ELEVATOR,40,2009,65000,3361800,51.72,852150,13.11,2509650,16400000,252.31,0.33,1-00504-0031,"112 SULLIVAN STREET
New York, NY
(40.72589056009281, -74.00282405667997)",SOHO,D1-ELEVATOR,60,1920,38880,1149094,29.55,356644,9.17,792450,5941000,152.8,0.43,, , , , , , , , , , , , , , 
1-00243-0056,"645 WATER STREET
New York, NY
(40.71147442796314, -73.98143817882323)",LOWER EAST SIDE,D4-ELEVATOR,212,1962,251500,6360435,25.29,2862196,11.38,3498239,18900000,75.15,1-00900-0027,"329 2 AVENUE
New York, NY
(40.73572914309335, -73.98248139237722)",GRAMERCY,D6-ELEVATOR,302,1963,291894,7482187,25.63,2365821,8.11,5116366,37080000,127.03,1.71,1-00246-0001,"257 SOUTH STREET
New York, NY
(40.71006725938971, -73.98995471254032)",LOWER EAST SIDE,D6-ELEVATOR,254,1978,262875,6647247,25.29,2111998,8.03,4535249,31565889,120.08,0.29,, , , , , , , , , , , , , , 
1-00244-0019,"605 WATER STREET
New York, NY
(40.711258590676096, -73.98441493474019)",LOWER EAST SIDE,D4-ELEVATOR,124,1964,124600,1685838,13.53,955682,7.67,730156,4833000,38.79,1-00336-0001,"16 BIALYSTOKER PLACE
New York, NY
(40.71582575645665, -73.98282222046268)",LOWER EAST SIDE,D3-ELEVATOR,128,1982,98052,1957118,19.96,919728,9.38,1037390,7420000,75.67,0.35,1-00341-0001,"444 GRAND STREET
New York, NY
(40.715359499129704, -73.98460379236633)",LOWER EAST SIDE,D6-ELEVATOR,202,1976,265180,2516669,9.49,1682349,6.34,834320,4953000,18.68,0.35,, , , , , , , , , , , , , , 
1-00253-0001,"2 MONROE STREET
New York, NY
(40.71134956365316, -73.99675196753468)",LOWER EAST SIDE,D4-ELEVATOR,1618,1935,1396625,19832075,14.2,10488654,7.51,9343421,64781000,46.38,1-00199-0034,"106 BAYARD STREET
New York, NY
(40.716150902515494, -73.99996421262676)",CHINATOWN,D7-ELEVATOR,54,1915,30582,455245,14.89,234825,7.68,220420,1519000,49.67,0.44,1-00304-0031,"83 CHRYSTIE STREET
New York, NY
(40.71736498725505, -73.99424452452047)",CHINATOWN,C7-WALK-UP,30,1910,22044,349177,15.84,160260,7.27,188917,1188000,53.89,0.47,, , , , , , , , , , , , , , 
1-00259-0071,"35 MONTGOMERY STREET
New York, NY
(40.712814417786774, -73.98493654151719)",LOWER EAST SIDE,D4-ELEVATOR,145,1964,287175,3842402,13.38,1992995,6.94,1849407,12267000,42.72,1-00354-0022,"149 NORFOLK STREET
New York, NY
(40.720260804189365, -73.98641142964522)",LOWER EAST SIDE,D1-ELEVATOR,35,1912,22404,328004,14.64,108280,4.83,219724,1517000,67.71,0.57,1-00304-0021,"249 GRAND STREET
New York, NY
(40.718237329623435, -73.99410063299575)",CHINATOWN,D7-ELEVATOR,26,1910,26565,321912,12.12,186077,7,135835,864000,32.52,0.66,, , , , , , , , , , , , , , 
1-00263-0008,"453 F D R DRIVE
New York, NY
(40.756053999992105, -73.9869510002884)",LOWER EAST SIDE,D4-ELEVATOR,836,1955,923000,21127470,22.89,9248460,10.02,11879010,86759000,94,1-00246-0001,"257 SOUTH STREET
New York, NY
(40.71006725938971, -73.98995471254032)",LOWER EAST SIDE,D6-ELEVATOR,254,1978,262875,6647247,25.29,2111998,8.03,4535249,31565889,120.08,0.45,1-00273-0017,"191 MADISON STREET
New York, NY
(40.71258059405915, -73.99076414826703)",LOWER EAST SIDE,D1-ELEVATOR,24,1910,8995,205854,22.89,90133,10.02,115721,845000,93.94,0.62,1-00354-0022,149 NORFOLK STREET,LOWER EAST SIDE,D1-ELEVATOR,35,1912,"22,404","328,004",14.64,"108,280",4.83,"219,724","1,517,000",67.71,0.64
1-00267-0001,"305 MADISON STREET
New York, NY
(40.71309320761583, -73.98481063643311)",LOWER EAST SIDE,D4-ELEVATOR,143,1964,136070,2779910,20.43,1100806,8.09,1679104,11991000,88.12,1-00935-0013,"315 29 STREET
New York, NY
(40.74925957266248, -73.99618670304633)",KIPS BAY,D6-ELEVATOR,208,1970,165105,3122777,18.91,1562072,9.46,1560705,8400000,50.88,1.93,1-00886-0062,"175 LEXINGTON AVENUE
New York, NY
(40.74429068881227, -73.98124932119708)",MURRAY HILL,D1-ELEVATOR,17,1915,25284,554731,21.94,255116,10.09,299615,2195000,86.81,2.07,, , , , , , , , , , , , , , 
1-00289-9001,"1 BOWERY
New York, NY
(40.71405862564304, -73.99738506593508)",CHINATOWN,D4-ELEVATOR,790,1977,1217600,38390928,31.53,15134768,12.43,23256160,173528000,142.52,1-00304-0035,"75 CHRYSTIE STREET
New York, NY
(40.717113177086844, -73.99437042960454)",CHINATOWN,C7-WALK-UP,45,1910,26964,745551,27.65,277544,10.29,468007,3373000,125.09,0.19,1-00236-0027,"133 MULBERRY STREET
New York, NY
(40.71856108555397, -73.99767993467236)",CHINATOWN,C7-WALK-UP,17,1920,41900,1465401,34.97,248405,5.93,1216996,9005000,214.92,0.29,1-00424-0028,139 CHRYSTIE STREET,LOWER EAST SIDE,D7-ELEVATOR,11,1900,"10,960","345,608",31.53,"136,244",12.43,"209,364","1,562,000",142.52,0.33
1-00299-0027,"25 ORCHARD STREET
New York, NY
(40.71541345845145, -73.99161850419489)",LOWER EAST SIDE,C8-WALK-UP,15,1900,12325,337844,27.41,79475,6.45,258369,1863000,151.16,1-00409-0031,"252 BROOME STREET
New York, NY
(40.71802149233645, -73.98989180589865)",LOWER EAST SIDE,C7-WALK-UP,17,1920,12531,349161,27.86,109987,8.78,239174,1723000,137.5,0.23,1-00355-0044,"178 NORFOLK STREET
New York, NY
(40.72134898384485, -73.98585384998705)",LOWER EAST SIDE,C7-WALK-UP,21,1900,11830,348111,29.43,136042,11.5,212069,1590000,134.4,0.51,, , , , , , , , , , , , , , 
1-00311-0013,"357 GRAND STREET
New York, NY
(40.71605197709226, -73.98719383981074)",LOWER EAST SIDE,D4-ELEVATOR,893,1960,986641,19140835,19.4,8021391,8.13,11119444,79721000,80.8,1-00470-0029,"212 GRAND STREET
New York, NY
(40.718929807585994, -73.99614209400227)",LITTLE ITALY,D9-ELEVATOR,16,1920,14221,379406,26.68,131484,9.25,247922,1793000,126.08,0.47,1-00304-0021,"249 GRAND STREET
New York, NY
(40.718237329623435, -73.99410063299575)",CHINATOWN,D7-ELEVATOR,26,1910,26565,321912,12.12,186077,7,135835,864000,32.52,0.36,, , , , , , , , , , , , , , 
1-00315-0001,"409 GRAND STREET
New York, NY
(40.715728221161726, -73.98610566015526)",LOWER EAST SIDE,D4-ELEVATOR,880,1960,1034940,19839800,19.17,7782749,7.52,12057051,86492000,83.57,1-00246-0001,"257 SOUTH STREET
New York, NY
(40.71006725938971, -73.98995471254032)",LOWER EAST SIDE,D6-ELEVATOR,254,1978,262875,6647247,25.29,2111998,8.03,4535249,31565889,120.08,0.3,1-00354-0022,"149 NORFOLK STREET
New York, NY
(40.720260804189365, -73.98641142964522)",LOWER EAST SIDE,D1-ELEVATOR,35,1912,22404,328004,14.64,108280,4.83,219724,1517000,67.71,0.36,, , , , , , , , , , , , , , 
1-00321-0001,"570 GRAND STREET
New York, NY
(40.71385763134077, -73.97943269069788)",LOWER EAST SIDE,D4-ELEVATOR,1684,1955,1231250,16449500,13.36,5774563,4.69,10674937,70822000,57.52,1-00398-0025,"190 3 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,D9-ELEVATOR,23,1912,10656,226845,21.29,71020,6.66,155825,1143000,107.26,0.66,1-00373-0056,"299 3 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,D3-ELEVATOR,38,2003,57600,945792,16.42,383040,6.65,562752,4075000,70.75,0.49,, , , , , , , , , , , , , , 
1-00331-0001,"504 GRAND STREET
New York, NY
(40.71457708896418, -73.98204072458282)",LOWER EAST SIDE,D4-ELEVATOR,240,1929,216200,4775858,22.09,1803108,8.34,2972750,21767000,100.68,1-00273-0017,"191 MADISON STREET
New York, NY
(40.71258059405915, -73.99076414826703)",LOWER EAST SIDE,D1-ELEVATOR,24,1910,8995,205854,22.89,90133,10.02,115721,845000,93.94,0.5,1-00398-0025,"190 3 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,D9-ELEVATOR,23,1912,10656,226845,21.29,71020,6.66,155825,1143000,107.26,0.52,, , , , , , , , , , , , , , 
1-00331-0065,"484 GRAND STREET
New York, NY
(40.714837892352705, -73.98286810084977)",LOWER EAST SIDE,D4-ELEVATOR,274,1949,299510,6226813,20.79,2503904,8.36,3722909,27342000,91.29,1-00398-0018,"176 3 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,D7-ELEVATOR,50,1931,43520,1165005,26.77,315702,7.25,849303,3113000,71.53,0.52,1-00385-0019,"228 3 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,D7-ELEVATOR,23,2003,12880,208398,16.18,78182,6.07,130216,841000,65.3,0.44,, , , , , , , , , , , , , , 
1-00331-0120,"530 GRAND STREET
New York, NY
(40.71433427201629, -73.98118636865502)",LOWER EAST SIDE,D4-ELEVATOR,533,1949,532006,12534061,23.56,6165950,11.59,6368111,46438000,87.29,1-00354-0020,"155 NORFOLK STREET
New York, NY
(40.7203867092735, -73.9863484771032)",LOWER EAST SIDE,D1-ELEVATOR,50,1912,22500,726910,32.31,268260,11.92,458650,3414000,151.73,0.49,1-00385-0019,"228 3 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,D7-ELEVATOR,23,2003,12880,208398,16.18,78182,6.07,130216,841000,65.3,0.48,, , , , , , , , , , , , , , 
1-00333-0001,"87 DELANCEY STREET
New York, NY
(40.71883617799816, -73.98957117497135)",LOWER EAST SIDE,D4-ELEVATOR,1139,1966,1191180,16116665,13.53,9136351,7.67,6980314,46203000,38.79,1-00336-0001,"16 BIALYSTOKER PLACE
New York, NY
(40.71582575645665, -73.98282222046268)",LOWER EAST SIDE,D3-ELEVATOR,128,1982,98052,1957118,19.96,919728,9.38,1037390,7420000,75.67,0.18,1-00341-0001,"444 GRAND STREET
New York, NY
(40.715359499129704, -73.98460379236633)",LOWER EAST SIDE,D6-ELEVATOR,202,1976,265180,2516669,9.49,1682349,6.34,834320,4953000,18.68,0.26,, , , , , , , , , , , , , , 
1-00341-0070,"131 BROOME STREET
New York, NY
(40.71646566522571, -73.98478365677221)",LOWER EAST SIDE,D4-ELEVATOR,201,1972,228000,3556800,15.6,2010960,8.82,1545840,10584000,46.42,1-00931-0001,"444 2 AVENUE
New York, NY
(40.739296900858605, -73.97982027190895)",KIPS BAY,D6-ELEVATOR,411,1970,435548,8313052,19.09,4619674,10.61,3693378,26501000,60.85,1.61,1-00341-0058,"410 GRAND STREET
New York, NY
(40.715872112686384, -73.9863214974423)",LOWER EAST SIDE,D6-ELEVATOR,404,1972,225000,2723730,12.11,1579119,7.02,1144611,7280000,32.36,0,, , , , , , , , , , , , , , 
1-00343-0062,"63 PITT STREET
New York, NY
(40.71778766860882, -73.98273320254538)",LOWER EAST SIDE,C6-WALK-UP,16,1920,10070,322441,32.02,120337,11.95,202104,1507000,149.65,1-00348-0005,"104 SUFFOLK STREET
New York, NY
(40.71865101775694, -73.98624955167998)",LOWER EAST SIDE,C4-WALK-UP,20,1920,9858,332940,33.77,119925,12.17,213015,1581000,160.38,0.14,1-00344-0064,"95 PITT STREET
New York, NY
(40.7188488686034, -73.9822205889887)",LOWER EAST SIDE,C4-WALK-UP,20,1920,9990,302346,30.26,117132,11.72,185214,1387000,138.84,0.09,, , , , , , , , , , , , , , 
1-00344-0154,"141 ATTORNEY STREET
New York, NY
(40.7198381228356, -73.98368648389646)",LOWER EAST SIDE,C6-WALK-UP,21,1920,18753,272856,14.55,156025,8.32,116831,807000,43.03,1-01674-0001,"1984 2 AVENUE
New York, NY
(40.78817760384209, -73.94424221969138)",HARLEM-EAST,C7-WALK-UP,13,1910,9070,139326,15.36,76007,8.38,63319,435000,47.96,5.16,1-00353-0024,"129 RIVINGTON STREET
New York, NY
(40.71963127876887, -73.98690605676137)",LOWER EAST SIDE,C7-WALK-UP,19,1930,14497,198771,13.71,106195,7.33,92576,460000,31.73,0.18,, , , , , , , , , , , , , , 
1-00344-0173,"72 CLINTON STREET
New York, NY
(40.71921759063537, -73.98499050083893)",LOWER EAST SIDE,C6-WALK-UP,22,1925,14425,445011,30.85,132999,9.22,312012,2331000,161.59,1-01058-0016,"425 48 STREET
New York, NY
(40.64723945038664, -74.0107585638085)",CLINTON,C4-WALK-UP,39,1901,35404,1298537,36.68,383682,10.84,914855,4020000,113.55,3.01,1-00866-0009,"9 36 STREET
New York, NY
(40.65688822231134, -74.0086251897493)",MURRAY HILL,D7-ELEVATOR,18,1925,13290,332343,25.01,100822,7.59,231521,1681000,126.49,2.07,, , , , , , , , , , , , , , 
1-00348-0002,"98 SUFFOLK STREET
New York, NY
(40.71845316691048, -73.98635747032347)",LOWER EAST SIDE,C6-WALK-UP,20,1920,9519,250064,26.27,110135,11.57,139929,1013000,106.42,1-00348-0074,"170 DELANCEY STREET
New York, NY
(40.717796661829084, -73.98522432456656)",LOWER EAST SIDE,C7-WALK-UP,24,1920,12180,383054,31.45,172170,14.14,210884,1574000,129.23,0.05,1-00348-0004,"102 SUFFOLK STREET
New York, NY
(40.718588065214874, -73.98628552456114)",LOWER EAST SIDE,C4-WALK-UP,14,1920,9858,207941,21.09,88578,8.99,119363,695000,70.5,0,, , , , , , , , , , , , , , 
1-00350-0057,"309 HOUSTON STREET
New York, NY
(40.72123365329026, -73.98342843808942)",LOWER EAST SIDE,C6-WALK-UP,32,1920,20837,654907,31.43,238584,11.45,416323,3107000,149.11,1-00350-0020,"293 HOUSTON STREET
New York, NY
(40.721417543564826, -73.98401534264617)",LOWER EAST SIDE,C4-WALK-UP,19,1920,11620,388991,33.48,141545,12.18,247446,1838000,158.18,0.05,1-00350-0050,"6 CLINTON STREET
New York, NY
(40.72109717367664, -73.98402822626758)",LOWER EAST SIDE,C4-WALK-UP,22,1930,13045,383074,29.37,139845,10.72,243229,1824000,139.82,0,, , , , , , , , , , , , , , 
1-00351-0001,"62 ESSEX STREET
New York, NY
(40.71696029234187, -73.98901946353021)",LOWER EAST SIDE,D4-ELEVATOR,182,1972,198260,4454902,22.47,2220512,11.2,2234390,16334000,82.39,1-00273-0017,"191 MADISON STREET
New York, NY
(40.71258059405915, -73.99076414826703)",LOWER EAST SIDE,D1-ELEVATOR,24,1910,8995,205854,22.89,90133,10.02,115721,845000,93.94,0.32,1-00422-0056,"247 ELDRIDGE STREET
New York, NY
(40.722805885532296, -73.98959502962896)",LOWER EAST SIDE,D9-ELEVATOR,11,2001,7926,174805,22.05,85166,10.75,89639,629000,79.36,0.39,, , , , , , , , , , , , , , 
1-00354-0027,"139 NORFOLK STREET
New York, NY
(40.71997302113999, -73.98655532116993)",LOWER EAST SIDE,C6-WALK-UP,20,1920,10255,341902,33.34,123675,12.06,218227,1621000,158.07,1-00354-0014,"125 STANTON STREET
New York, NY
(40.72091730927076, -73.98672619235549)",LOWER EAST SIDE,C4-WALK-UP,12,1910,7826,237307,30.32,97996,12.52,139311,1043000,133.27,0,1-00350-0033,"162 STANTON STREET
New York, NY
(40.720350736392334, -73.98485560253454)",LOWER EAST SIDE,C4-WALK-UP,20,1920,8340,278081,33.34,100592,12.06,177489,1319000,158.15,0.12,1-00350-0035,158 STANTON STREET,LOWER EAST SIDE,C4-WALK-UP,16,1920,"8,063","307,912",38.19,"107,473",13.33,"200,439","1,485,000",184.17,0.12
1-00354-0031,"128 RIVINGTON STREET
New York, NY
(40.719640271989135, -73.98693303642222)",LOWER EAST SIDE,C6-WALK-UP,24,1920,19405,244503,12.6,87323,4.5,157180,894000,46.07,1-00349-0022,"47 CLINTON STREET
New York, NY
(40.719748190632686, -73.98472070423014)",LOWER EAST SIDE,C7-WALK-UP,10,1900,10625,172412,16.23,30319,2.85,142093,1638000,154.16,0.09,1-00350-0039,"30 CLINTON STREET
New York, NY
(40.72044966181551, -73.98436097541844)",LOWER EAST SIDE,C7-WALK-UP,12,1900,12420,116673,9.39,76271,6.14,40402,240000,19.32,0.16,, , , , , , , , , , , , , , 
1-00376-0014,"246 7 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C6-WALK-UP,24,1928,16776,627087,37.38,239394,14.27,387693,2851000,169.95,1-00376-0007,"102 AVENUE
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C4-WALK-UP,28,1900,16679,656322,39.35,216175,12.96,440147,3328000,199.53,0,1-00376-0009,"234 7 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C1-WALK-UP,20,1900,6490,272806,42.03,95988,14.79,176818,1334000,205.55,0,, , , , , , , , , , , , , , 
1-00376-0016,"248 7 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C6-WALK-UP,12,1928,11802,392298,33.24,136195,11.54,256103,1903000,161.24,1-00376-0009,"234 7 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C1-WALK-UP,20,1900,6490,272806,42.03,95988,14.79,176818,1334000,205.55,0,1-00376-0011,"238 7 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C4-WALK-UP,30,1900,16962,526985,31.07,127209,7.5,399776,2986000,176.04,0,, , , , , , , , , , , , , , 
1-00376-0019,"254 7 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C6-WALK-UP,20,1910,14508,489500,33.74,154655,10.66,334845,2485000,171.28,1-00375-0028,"738 6 STREET
New York, NY
(40.723077076977475, -73.97835727269809)",ALPHABET CITY,C4-WALK-UP,11,1900,6500,236962,36.46,72401,11.14,164561,1213000,186.62,0.05,1-00378-0039,"115 AVENUE
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C7-WALK-UP,23,1900,13266,411385,31.01,135013,10.18,276372,2064000,155.59,0.09,, , , , , , , , , , , , , , 
1-00377-0059,"257 7 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C6-WALK-UP,12,1900,8655,284490,32.87,76943,8.89,207547,1543000,178.28,1-00374-0041,"41 AVENUE
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C4-WALK-UP,22,1900,17192,611692,35.58,176699,10.28,434993,2959000,172.11,0.14,1-00376-0011,"238 7 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C4-WALK-UP,30,1900,16962,526985,31.07,127209,7.5,399776,2986000,176.04,0.05,, , , , , , , , , , , , , , 
1-00377-0062,"249 7 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C6-WALK-UP,13,2001,9664,334664,34.63,86686,8.97,247978,1836000,189.98,1-00398-0035,"24 AVENUE
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,D6-ELEVATOR,64,1997,77000,3663660,47.58,1208900,15.7,2454760,18439000,239.47,0.37,1-00386-0003,"41 AVENUE
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,D7-ELEVATOR,23,1999,24156,593723,24.58,233606,9.67,360117,2618000,108.38,0.24,, , , , , , , , , , , , , , 
1-00379-0011,"404 10 STREET
New York, NY
(40.66811336310982, -73.98590946678594)",ALPHABET CITY,C6-WALK-UP,12,1900,8675,312474,36.02,102278,11.79,210196,1551000,178.79,1-00376-0007,"102 AVENUE
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C4-WALK-UP,28,1900,16679,656322,39.35,216175,12.96,440147,3328000,199.53,0.14,1-00392-0037,"145 AVENUE
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C7-WALK-UP,30,1900,18836,615751,32.69,199831,10.61,415920,3094000,164.26,0.14,, , , , , , , , , , , , , , 
1-00379-0045,"735 9 STREET
New York, NY
(40.72495321028625, -73.97711576327252)",ALPHABET CITY,D0-ELEVATOR,12,1920,31500,651735,20.69,249165,7.91,402570,2957000,93.87,1-00343-0050,"203 RIVINGTON STREET
New York, NY
(40.718435180469896, -73.98297601949332)",LOWER EAST SIDE,D5-ELEVATOR,71,1906,99911,2077150,20.79,955149,9.56,1122001,8240000,82.47,0.6,1-00411-0010,"164 ORCHARD STREET
New York, NY
(40.72118710587955, -73.98866872793877)",LOWER EAST SIDE,D6-ELEVATOR,13,1920,10219,210264,20.58,83756,8.2,126508,851000,83.28,0.68,, , , , , , , , , , , , , , 
1-00382-0100,"162 AVENUE
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,D4-ELEVATOR,439,1950,553660,7911801,14.29,4695037,8.48,3216764,22288000,40.26,1-00931-0001,"444 2 AVENUE
New York, NY
(40.739296900858605, -73.97982027190895)",KIPS BAY,D6-ELEVATOR,411,1970,435548,8313052,19.09,4619674,10.61,3693378,26501000,60.85,0.86,1-00341-0001,"444 GRAND STREET
New York, NY
(40.715359499129704, -73.98460379236633)",LOWER EAST SIDE,D6-ELEVATOR,202,1976,265180,2516669,9.49,1682349,6.34,834320,4953000,18.68,0.87,, , , , , , , , , , , , , , 
1-00387-0141,"73 AVENUE
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C6-WALK-UP,18,1920,16747,289053,17.26,147876,8.83,141177,1019000,60.85,1-00415-0012,"176 ELDRIDGE STREET
New York, NY
(40.72041368893434, -73.99080911436852)",LOWER EAST SIDE,C7-WALK-UP,60,1920,32786,623024,19,304535,9.29,318489,1065000,32.48,0.51,1-00733-0001,"463 35 STREET
New York, NY
(40.75496997997402, -73.9979206010217)",JAVITS CENTER,C7-WALK-UP,15,1930,13220,210019,15.89,104209,7.88,105810,560000,42.36,2.29,, , , , , , , , , , , , , , 
1-00389-0007,"105 AVENUE
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C6-WALK-UP,14,1900,12074,393250,32.57,133659,11.07,259591,1931000,159.93,1-00389-0022,"208 7 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C7-WALK-UP,30,1900,19418,738467,38.03,251075,12.93,487392,3689000,189.98,0,1-00402-0025,"162 7 STREET
New York, NY
(40.756053999992105, -73.9869510002884)",ALPHABET CITY,C4-WALK-UP,14,1900,6794,211846,31.18,77802,11.45,134044,1001000,147.34,0.14,, , , , , , , , , , , , , , 
